"Data Set 1:Time(s)","Data Set 1:Absorbance"
0,0.2856907400196228
1,0.2927154459996652
2,0.32735956247775416
3,0.34642231122107325
4,0.31257324289792882
5,0.30653169541695779
6,0.30780243846252231
7,0.30709632638700257
8,0.30803374791163424
9,0.30952208791179847
10,0.30932090265587059
11,0.30966791544196837
12,0.30999921513542061
13,0.30999921513542061
14,0.31665637335298952
15,0.32849344117524937
16,0.3136616965987033
17,0.31138180805060123
18,0.31089110925634705
19,0.30982428068807588
20,0.31156475820638341
21,0.31126503375968684
22,0.31117741261576382
23,0.31165993577651308
24,0.31151498993471027
25,0.31134422572939435
26,0.31129069026274386
27,0.31150432486039298
28,0.31160202616655469
29,0.31160202616655469
30,0.31138456391637004
31,0.31227069827682485
32,0.31127426140748998
33,0.31155070137755397
34,0.31130951401600443
35,0.31179784665090743
36,0.31185120422357165
37,0.3123033323346886
38,0.31074399467893282
39,0.31168624212952184
40,0.32309928538485971
41,0.34253001979401215
42,0.34253001979401215
43,0.31786775440908654
44,0.31275235183272654
45,0.31209569251087099
46,0.31154517467185733
47,0.31171689331413777
48,0.31207494811804987
49,0.31172980676396489
50,0.31099864972116292
51,0.31163274444023276
52,0.31177076877592602
53,0.31114775911107567
54,0.31089734296452753
55,0.31134301856253938
56,0.31086795132585604
57,0.31086795132585604
58,0.31142253736874093
59,0.31085215051645204
60,0.31054956940155276
61,0.31120614193295348
62,0.31089731269176235
63,0.31164437311251864
64,0.31132332934336643
65,0.31038195474749786
66,0.30976759997388109
67,0.31027991852124948
68,0.30981726244102159
69,0.3104506592759782
70,0.31372942186575986
71,0.31372942186575986
72,0.34875838635358264
73,0.31999912592531693
74,0.31073949960221853
75,0.31094136184587812
76,0.31024810527778651
77,0.31009470514100668
78,0.30988825458316244
79,0.30948630063014637
80,0.30909818124242217
81,0.30872071343315449
82,0.30834862395570295
83,0.30862373551860556
84,0.30863325892222304
85,0.30928048233741617
86,0.30928048233741617
87,0.30874923891281331
88,0.30904206528947664
89,0.30891040362094557
90,0.30877113857800254
91,0.33517096458221468
92,0.3417813610589519
93,0.33686728049134934
94,0.31455148987894183
95,0.30919942148144325
96,0.30798138503455819
97,0.30767459330164687
98,0.30779438434376477
99,0.30822854872825634
100,0.3065467262031818
101,0.30762953703246448
102,0.30656413114039771
103,0.30656413114039771
104,0.30616373797604246
105,0.33099669972226359
106,0.31455679500905759
107,0.30794099354383586
108,0.30715116550386845
109,0.30576396011268131
110,0.30541699517775761
111,0.30613824390546357
112,0.30583687513185293
113,0.30623553899692324
114,0.30575265943897989
115,0.30586950413563441
116,0.30698348647315166
117,0.30616888572227768
118,0.30592933686203189
119,0.30592933686203189
120,0.30591146999124241
121,0.3060964114613684
122,0.30665203740246666
123,0.30531358512889006
124,0.30593659970309489
125,0.30529970233401621
126,0.30665477586267892
127,0.30627147809280414
128,0.30512639744319725
129,0.30495078363618655
130,0.30490804376558861
131,0.30626882223662827
132,0.30507175571793516
133,0.30484553386224378
134,0.30465126506687412
135,0.30465126506687412
136,0.30494071058410932
137,0.30533500963465793
138,0.30488181746708282
139,0.30426454141966019
140,0.30458989875181469
141,0.30438663534153493
142,0.30463052484855574
143,0.30434918507509551
144,0.30432279123494099
145,0.30475504998683006
146,0.30341339903670284
147,0.30409772538782304
148,0.30321176324928473
149,0.3028625473066453
150,0.30399426494492671
151,0.30390213345633005
152,0.30390213345633005
153,0.30367236848296453
154,0.30431222318348389
155,0.30248280431870495
156,0.30290169132926625
157,0.30304082172036456
158,0.30297909004025686
159,0.30265832403821735
160,0.30301370331948763
161,0.30277719571582579
162,0.30306756780156757
163,0.30221272435664559
164,0.31084563682238542
165,0.30545561139730765
166,0.30288650508658271
167,0.30228837254020413
168,0.30228837254020413
169,0.30211225223351762
170,0.30212968940635432
171,0.30232654364637029
172,0.30193147793422914
173,0.30168150010723027
174,0.30179767181664052
175,0.30182540899243093
176,0.30157542726048014
177,0.3014156158932349
178,0.30664190233806149
179,0.30328501007140535
180,0.30170121976034286
181,0.30128153068247282
182,0.3007637461484412
183,0.30026495743079124
184,0.30026495743079124
185,0.30103478085915747
